id;name;activity
1;Разработка тз для постановки задачи;1
2;Тестирование;2
3;Информационная безопасность;2
4;IT и сети;2
5;Веб-разработка и дизайн;2
6;Информатика и аналитика;2
7;Программирование;2
8;Разработка;2
9;Разработка и настройка веб-сайтов;2
10;Разработка игр;2
11;Разработка мобильных приложений;2
12;Разработки в сфере электронной коммерции;2
13;Сервера и хостинг;2
14;Специалисты по смартфонам, планшетам и компьютерам;2
15;Языки программирования, Фреймворки и программы;2
16;Разработка и IT другое;2
17;3D Графика;3
18;Анимация и флеш;3
19;Арт и иллюстрация;3
20;Аудио и Видео;3
21;Аудиопродукция;3
22;Графический дизайн;3
23;Дизайн интерьера;3
24;Дизайн одежды;3
25;Наружная реклама;3
26;Полиграфия;3
28;Презентации;3
27;Программы и ПО;3
28;Промышленный дизайн;3
29;Фотография;3
30;Дизайн и креатив другое;3
93;Сферы бизнеса;4
31;Поиск поставщиков и производство продукции;4
32;SEO / SEM;5
33;Аналитика;5
34;Брендинг;5
35;Контент-маркетинг;5
36;Продажи;5
37;Реклама и PR;5
38;Социальные медиа;5
39;Цифровой маркетинг;5
40;Продажи другое;5
41;Набор текста;6
43;Продающие и бизнес тексты;6
44;Тексты и наполнение сайта;6
45;Тексты другое;6
46;Академическое письмо;7
47;Веб-копирайтинг;7
48;Написание контента;7
49;Перевод;7
50;Редактирование и корректура;7
51;Творческое письмо;7
52;Техническое письмо;7
53;Писательство и переводы другие;7
54;Обслуживание клиентов;8
55;Базы данных и клиентов;8
56;Ввод данных;8
57;Администрирование;8
58;Веб-исследования и постинг;8
59;Персональные / Виртуальные помощники;8
60;Административная поддержка другое;8
61;Бухгалтерия;9
62;Управление бизнесом;9
63;Финансы;9
64;Финансы другое;9
65;Архитектура;10
66;Инженерное дело и наука;10
67;CAD / технические чертежи;10
68;Специалисты-инженеры;10
69;Инжиниринг другие;10
70;Бизнес и корпоративное право;11
71;Главный юрисконсульт;11
72;Право интеллектуальной собственности;11
73;Юридическая помощь;11
74;Бизнес и финансы;12
75;Кадры и рекрутинг;12
76;Обучение персонала;12
77;Менеджмент;13
82;Астрология;15
83;Дошкольное образование;15
84;ЗОЖ;15
85;Классические виды искусства;15
86;Лингвистика;15
87;Музыка и пение;15
88;Обучение;15
89;Психология;15
90;Репетиторы/преподаватели;15
91;Специализации по аутсорсингу;14
92;Специализации по консалтингу;14
94;Машиностроение;17
