id;specialization;category
1;ТЗ для дизайнера;1
2;ТЗ для программиста;1
3;ТЗ для маркетолога;1
4;ТЗ для SEO оптимизатора;1
5;ТЗ для Рекламщика;1
6;ТЗ для архитектора;1
7;ТЗ для инженера;1
8;ТЗ для писателя (контенщика);1
10;Инженеры по машинному обучению;6
11;Консультанты по визуализации данных;6
12;Разработчики Tableau;6
13;Разработчики и программисты R;6
14;Специалисты по Microsoft Power BI;6
15;Специалисты по анализу данных;6
16;Разработчики Magento;12
17;Разработчики Shopify;12
18;Разработчики SquareSpace;12
19;Разработчики WooCommerce;12
20;Разработчики электронной коммерции;12
23;3D Моделирование;10
25;Unity;10
26;VR (виртуальная реальность);10
28;Дизайнеры игр;10
29;Концепт/Эскизы;10
30;Макросы для игр;10
31;Озвучивание игр;10
33;Программирование игр;10
34;Разработчики Unity;10
35;Разработчики Unreal Engine;10
36;Разработчики виртуальной реальности;10
37;Разработчики дополненной реальности;10
38;Разработчики игр;10
39;Рисунки и иллюстрации;10
40;Тестирование игр (QA);10
41;Администраторы баз данных;4
42;Специалисты по технической поддержке;4
43;Системные администраторы;4
44;Сетевые инженеры;4
45;Разработчики AWS;4
46;Облачные вычисления;4
47;Аналитики по информационной безопасности;4
48;1С Битрикс;9
49;Юзабилити-анализ;9
50;Флеш-сайты;9
51;Ускорение веб-сайта;9
52;Тильда;9
53;Создание веб-сайтов;9
54;Системы администрирования (CMS);9
55;Проектирование веб-сайтов;9
56;Плагины и темы;9
57;Настройка веб-сайта;9
59;Лендинги;9
62;Исправление ошибок;9
63;Интернет-магазины;9
64;Защита и лечение веб-сайта;9
65;Доработка веб-сайта;9
66;Дизайн веб-сайтов;9
67;Верстка;9
68;Веб-сайт «под ключ»;9
69;Веб-программирование;9
70;Адаптивный дизайн;9
71;WordPress;9
72;Wap/PDA-сайты;9
73;QA (тестирование);9
74;Windows Phone;11
75;Разработчики приложений для Android;11
76;Разработчики мобильных приложений;11
77;Разработчики iOS;11
78;Разработчики API;11
79;Разработчики Android;11
80;Прототипирование;11
81;Дизайн приложений;11
82;Java-разработчики;8
83;Разработчики программного обеспечения;8
84;Разработчики полного стека;8
85;Разработчики и программисты Node.js;8
86;Разработчики и программисты C#;8
87;Разработчики SQL;8
88;Разработчики React.js;8
89;Разработчики React Native;8
90;Разработчики Python;8
